E keV,hK 0 Sv/Gy,hK 15 Sv/Gy,hK 30 Sv/Gy,hK 45 Sv/Gy,hK 60 Sv/Gy,hK 75 Sv/Gy,hK 90 Sv/Gy,hK 180 Sv/Gy
800,1.16617795428538000000,1.16757286691245000000,1.17231556984447000000,1.18198696405879000000,1.19971785345172000000,1.22867003997793000000,1.22879403221145000000,0.25651513269988500000
900,1.15714668257045000000,1.15848995667051000000,1.16293955212696000000,1.17203463717945000000,1.18893750293853000000,1.21734215317939000000,1.22053242916703000000,0.27702509674800200000
1000,1.15127012204417000000,1.15255070548174000000,1.15675101915697000000,1.16533092818868000000,1.18144066783331000000,1.20912688175358000000,1.21465900220388000000,0.29568671573490900000
1117,1.14386085892207000000,1.14524173979037000000,1.14919714431143000000,1.15722497715595000000,1.17241466670725000000,1.19911949841453000000,1.20717073601953000000,0.31638555216394700000
1173,1.14141354994671000000,1.14274174353381000000,1.14656874200512000000,1.15435780948203000000,1.16914803298587000000,1.19539674014792000000,1.20424386014337000000,0.32592519922151500000
1250,1.13909096668596000000,1.14016196366474000000,1.14382477333215000000,1.15130033224400000000,1.16554459206172000000,1.19122709961275000000,1.20058761320725000000,0.33815658607855200000
1332,1.13584969874200000000,1.13709429783708000000,1.14062406248379000000,1.14776520483263000000,1.16147619814239000000,1.18644979309946000000,1.19705949030345000000,0.35095654154950800000
1500,1.13091545303054000000,1.13201701830375000000,1.13526570232982000000,1.14181908217552000000,1.15447774751850000000,1.17815206559356000000,1.18993321283754000000,0.37479358126089800000
1700,1.12594833628763000000,1.12703909074948000000,1.12995345032725000000,1.13590147075205000000,1.14747369387078000000,1.16968077299260000000,1.18227557841932000000,0.40028984446208200000
1750,1.12477469417609000000,1.12580959906507000000,1.12866393351693000000,1.13447275450668000000,1.14578994022809000000,1.16762309498266000000,1.18039248595151000000,0.40631701302437400000
2000,1.12087047486020000000,1.12179682664611000000,1.12434809058109000000,1.12954173502014000000,1.13974679076004000000,1.15986836643766000000,1.17304989676836000000,0.43319854172068400000
2400,1.11440712951283000000,1.11526394353824000000,1.11741936632090000000,1.12183731363940000000,1.13055271880407000000,1.14830483439295000000,1.16147835003357000000,0.46927971925869700000
2500,1.11353042157860000000,1.11436365880786000000,1.11643373254929000000,1.12066501535411000000,1.12908852296862000000,1.14632611814885000000,1.15939752718280000000,0.47714548773438500000
